"sender","receiver","year","count"
"CH03","CN","2021","5"
"DE21","DE40","2011","1"
"DEA2","DE21","2018","12"
"ITF3","ITC3","2018","4"
"UKE3","TR","2012","3"
"EL52","EL63","2014","4"
"FRH0","MX","2015","1"
"MX","ES30","2010","9"
"ES30","ES42","2020","21"
"UKG3","US","2017","6"
"UKI5","ES51","2016","11"
"NL33","NL22","2018","13"
"BR","ES61","2015","13"
"DE91","DE60","2016","4"
"US","DE12","2017","13"
"ITC4","ITI1","2011","3"
"UKL2","KR","2011","1"
"NL21","BE21","2021","1"
"NL21","NL32","2009","2"
"UKJ1","NO0A","2018","2"
"UKH1","PL91","2007","1"
"UKM8","UKG3","2016","3"
"CH06","US","2021","2"
"TR","DE94","2018","1"
"NL22","BE23","2019","4"
"BE32","BE35","2018","1"
"NL33","BE21","2021","3"
"UKI5","ITH3","2017","2"
"PL21","CO","2017","1"
"SE12","SE22","2006","2"
"UKL2","UKE3","2015","4"
"DEA2","SG","2021","2"
"UKN0","IE06","2013","3"
"UKN0","UKH1","2016","2"
"LY","UKC2","2014","2"
"PT11","UKJ1","2002","1"
"UKJ3","FRH0","2014","1"
"UKE4","UKG1","2015","6"
"RO11","RO32","1997","2"
"ITI1","ITH5","2014","8"
"IL","CH04","2019","3"
"FRH0","CN","2005","1"
"NL22","NL41","2018","7"
"BE35","CA","2004","1"
"SE21","SE23","2020","15"
"UKH1","UKI5","2020","90"
"BR","UKI5","1990","7"
"ES30","BE24","2014","1"
"MX","US","2018","13"
"UKI5","UKD3","2019","28"
"TR","FR10","2004","1"
"NO08","UG","2018","1"
"FR10","FRE1","2014","8"
"CN","AT22","2011","1"
"US","CO","2014","6"
"YE","DEF0","2013","1"
"CN","NL22","2018","13"
"ES22","IE06","2018","1"
"ITI1","IT","2014","4"
"FI1B","CN","2016","8"
"CL","FR10","2017","5"
"ES41","CL","2014","3"
"UKI5","TW","2017","6"
"DE30","CH04","2020","5"
"CA","AU","2000","2"
"CH01","FR10","2010","4"
"UKN0","US","2008","1"
"BE24","NL33","2017","3"
"DK01","US","2001","2"
"BR","CA","2015","4"
"ES30","ES61","2018","65"
"AU","NZ","2016","4"
"UKH1","UKI5","2014","40"
"UKI5","UKN0","2019","8"
"GR","EL53","2018","2"
"UKH1","UKD7","2018","7"
"DE50","DE12","2018","1"
"UKM8","GB","2017","7"
"US","UKG1","2015","7"
"UKD7","JP","2014","2"
"DE25","DE27","2021","2"
"PL43","PL91","2010","2"
"ZA","UKJ1","1977","1"
"UKK1","UKH1","1998","1"
"ES30","ES61","2017","53"
"UKJ2","UKJ1","2019","21"
"DEA2","DEA5","2019","14"
"MY","UKL2","1989","1"
"PT16","PT11","1997","9"
"DEG0","UKD3","2019","1"
"JP","MA","2013","1"
"AT12","AT13","2020","18"
"UKD7","GB","2015","3"
"UKI5","UKJ3","2014","12"
"UKJ1","AT13","2019","4"
"ITI1","ITC1","2020","7"
"NL41","ES51","2004","1"
"CN","HK","2017","6"
"NL31","NL33","2020","31"
"PT11","PT16","2015","95"
"ITI1","ITH4","2004","2"
"UKK2","UKK1","2011","3"
"IR","DE40","2005","1"
"AU","UKG3","1972","1"
"FR10","IE04","2014","2"
"ES30","ES61","2019","60"
"ITI4","ES61","2019","5"
"PT16","PT17","2020","46"
"BR","PT16","2019","214"
"ID","ITI3","2008","1"
"BE21","NL33","2018","5"
"UKE4","ID","2017","3"
"UKI5","JP","2017","8"
"CA","CY00","2020","2"
"PT16","RU","2014","4"
"ES30","US","2020","35"
"CA","FR","2009","1"
"NL22","NZ","2019","2"
"UKI5","UKL1","2014","4"
"UKG1","UKG3","2015","9"
"DE14","CH01","2004","1"
"ITH3","ITI4","2005","2"
"DE71","DE13","2020","3"
"US","UKK1","2020","10"
"DE92","US","2001","2"
"ITH5","ITH3","2004","2"
"IE","US","2020","2"
"US","UKH3","2014","5"
