sender;receiver;dist
UKJ1;BE33;495851.7488
UKJ2;BE33;423777.2301
UKJ3;BE33;499204.5503
UKJ4;BE33;365069.7249
UKK1;BE33;561645.0922
UKL2;BE33;657748.949
UKM5;BE33;926648.6214
UKM6;BE33;1006000.37
UKM7;BE33;902729.7677
UKM8;BE33;901663.8511
UKM9;BE33;830606.8386
UKN0;BE33;950788.9878
HR05;BE33;921981.3236
HR06;BE33;926309.8232
NO02;BE33;1247042.792
NO06;BE33;1507769.512
NO07;BE33;2171255.092
NO08;BE33;1095083.323
NO09;BE33;968498.2461
NO0A;BE33;1176672.589
NO0B;BE33;3141196.204
BE31;BE34;103629.8013
BE32;BE34;119503.1532
BE33;BE34;63564.73894
CH05;BE34;446632.4545
CH06;BE34;396512.5486
CH07;BE34;475796.8074
CY00;BE34;2784807.278
CZ01;BE34;637872.2627
CZ02;BE34;644457.3281
CZ03;BE34;605459.3646
CZ04;BE34;563620.5935
CZ05;BE34;732933.6222
CZ06;BE34;773357.1846
CZ07;BE34;855257.9086
CZ08;BE34;894891.7824
DE11;BE34;313743.1291
DE12;BE34;250275.2506
DE13;BE34;292479.2877
DE14;BE34;354059.1746
DE21;BE34;497322.4755
DE22;BE34;544198.1307
DE23;BE34;477824.6601
DE24;BE34;417269.8308
DE25;BE34;384256.6774
DE26;BE34;314077.4347
DE27;BE34;415628.5255
DE30;BE34;616248.3295
DE40;BE34;614862.616
DE50;BE34;416436.9531
DE60;BE34;503833.5476
DE71;BE34;232045.7924
DE72;BE34;240801.0535
DE73;BE34;303188.8819
DE80;BE34;638414.9469
DE91;BE34;409142.119
DE92;BE34;380743.0097
DE93;BE34;464021.6731
DE94;BE34;361750.116
DEA1;BE34;180906.9636
DEA2;BE34;132409.8905
DEA3;BE34;257097.8378
DEA4;BE34;317699.4793
DEA5;BE34;231028.4405
FRG0;BE34;538491.838
FRH0;BE34;637784.8127
PL21;BE34;1054326.601
PL22;BE34;961989.7562
PL41;BE34;859535.0186
PL42;BE34;796982.4712
PL43;BE34;727812.2849
PL51;BE34;778765.3201
PL52;BE34;882121.5897
PL61;BE34;961868.6942
PL62;BE34;1132158.473
AT11;BE34;848998.118
AT12;BE34;766591.1932
AT13;BE34;814092.1845
AT21;BE34;710807.7477
AT22;BE34;756125.6144
AT31;BE34;644852.641
AT32;BE34;621217.3935
AT33;BE34;518864.911
AT34;BE34;440123.537
BE10;BE34;129135.8124
BE21;BE34;152453.8584
BE22;BE34;113699.6351
BE23;BE34;171112.3899
BE24;BE34;122305.06
BE25;BE34;210890.7988
ITH4;BE34;700998.969
ITH5;BE34;732855.0149
ITI1;BE34;836031.7645
ITI2;BE34;940189.0912
BE35;BE34;56868.59918
BG31;BE34;1571405.12
BG32;BE34;1718208.299
BG33;BE34;1811567.139
BG34;BE34;1811626.884
BG41;BE34;1607195.095
BG42;BE34;1744631.376
CH01;BE34;421409.2767
CH02;BE34;364956.1623
CH03;BE34;337799.3877
CH04;BE34;363986.8599
PL81;BE34;1229581.177
PL82;BE34;1187254.828
PL84;BE34;1253467.456
PL91;BE34;1117664.472
PL92;BE34;1116457.664
PT11;BE34;1391658.032
PT15;BE34;1783566.877
PT16;BE34;1519825.527
PT17;BE34;1696078.637
PT18;BE34;1665820.758
